from;to;type;weight
Jamal Musiala ;Jerome Boateng;Nationalität;4
Jamal Musiala ;Joshua Kimmich;Nationalität;4
Jamal Musiala ;Kwasi Wriedt;Nationalität;4
Jamal Musiala ;Leon Dajaku;Nationalität;4
Jamal Musiala ;Leon Goretzka;Nationalität;4
Jamal Musiala ;Manuel Neuer ;Nationalität;4
Jamal Musiala ;Niklas Suele;Nationalität;4
Jamal Musiala ;Oliver Batista-Meier;Nationalität;4
Jamal Musiala ;Serge Gnabry;Nationalität;4
Jamal Musiala ;Sven Ulreich;Nationalität;4
Jamal Musiala ;Thomas Mueller;Nationalität;4
Jerome Boateng;Joshua Kimmich;Nationalität;4
Jerome Boateng;Kwasi Wriedt;Nationalität;4
Jerome Boateng;Leon Dajaku;Nationalität;4
Jerome Boateng;Leon Goretzka;Nationalität;4
Jerome Boateng;Manuel Neuer ;Nationalität;4
Jerome Boateng;Niklas Suele;Nationalität;4
Jerome Boateng;Oliver Batista-Meier;Nationalität;4
Jerome Boateng;Serge Gnabry;Nationalität;4
Jerome Boateng;Sven Ulreich;Nationalität;4
Jerome Boateng;Thomas Mueller;Nationalität;4
Joshua Kimmich;Kwasi Wriedt;Nationalität;4
Joshua Kimmich;Leon Dajaku;Nationalität;4
Joshua Kimmich;Leon Goretzka;Nationalität;4
Joshua Kimmich;Manuel Neuer ;Nationalität;4
Joshua Kimmich;Niklas Suele;Nationalität;4
Joshua Kimmich;Oliver Batista-Meier;Nationalität;4
Joshua Kimmich;Serge Gnabry;Nationalität;4
Joshua Kimmich;Sven Ulreich;Nationalität;4
Joshua Kimmich;Thomas Mueller;Nationalität;4
Kwasi Wriedt;Leon Dajaku;Nationalität;4
Kwasi Wriedt;Leon Goretzka;Nationalität;4
Kwasi Wriedt;Manuel Neuer ;Nationalität;4
Kwasi Wriedt;Niklas Suele;Nationalität;4
Kwasi Wriedt;Oliver Batista-Meier;Nationalität;4
Kwasi Wriedt;Serge Gnabry;Nationalität;4
Kwasi Wriedt;Sven Ulreich;Nationalität;4
Kwasi Wriedt;Thomas Mueller;Nationalität;4
Leon Dajaku;Leon Goretzka;Nationalität;4
Leon Dajaku;Manuel Neuer ;Nationalität;4
Leon Dajaku;Niklas Suele;Nationalität;4
Leon Dajaku;Oliver Batista-Meier;Nationalität;4
Leon Dajaku;Serge Gnabry;Nationalität;4
Leon Dajaku;Sven Ulreich;Nationalität;4
Leon Dajaku;Thomas Mueller;Nationalität;4
Leon Goretzka;Manuel Neuer ;Nationalität;4
Leon Goretzka;Niklas Suele;Nationalität;4
Leon Goretzka;Oliver Batista-Meier;Nationalität;4
Leon Goretzka;Serge Gnabry;Nationalität;4
Leon Goretzka;Sven Ulreich;Nationalität;4
Leon Goretzka;Thomas Mueller;Nationalität;4
Manuel Neuer ;Niklas Suele;Nationalität;4
Manuel Neuer ;Oliver Batista-Meier;Nationalität;4
Manuel Neuer ;Serge Gnabry;Nationalität;4
Manuel Neuer ;Sven Ulreich;Nationalität;4
Manuel Neuer ;Thomas Mueller;Nationalität;4
Niklas Suele;Oliver Batista-Meier;Nationalität;4
Niklas Suele;Serge Gnabry;Nationalität;4
Niklas Suele;Sven Ulreich;Nationalität;4
Niklas Suele;Thomas Mueller;Nationalität;4
Oliver Batista-Meier;Serge Gnabry;Nationalität;4
Oliver Batista-Meier;Sven Ulreich;Nationalität;4
Oliver Batista-Meier;Thomas Mueller;Nationalität;4
Serge Gnabry;Sven Ulreich;Nationalität;4
Serge Gnabry;Thomas Mueller;Nationalität;4
Sven Ulreich;Thomas Mueller;Nationalität;4
Benjamin Pavard;Corentin Tolisso;Nationalität;4
Benjamin Pavard;Kingsley Coman;Nationalität;4
Benjamin Pavard;Lucas Hernandez;Nationalität;4
Benjamin Pavard;Michael Cuisance;Nationalität;4
Corentin Tolisso;Kingsley Coman;Nationalität;4
Corentin Tolisso;Lucas Hernandez;Nationalität;4
Corentin Tolisso;Michael Cuisance;Nationalität;4
Kingsley Coman;Lucas Hernandez;Nationalität;4
Kingsley Coman;Michael Cuisance;Nationalität;4
Lucas Hernandez;Michael Cuisance;Nationalität;4
Alvaro Odriozola;Javi Martinez;Nationalität;4
Alvaro Odriozola;Thiago Alcantara;Nationalität;4
Javi Martinez;Thiago Alcantara;Nationalität;4
David Alaba;Jamal Musiala ;Sprache;4
David Alaba;Jerome Boateng;Sprache;4
David Alaba;Joshua Kimmich;Sprache;4
David Alaba;Kwasi Wriedt;Sprache;4
David Alaba;Leon Dajaku;Sprache;4
David Alaba;Leon Goretzka;Sprache;4
David Alaba;Manuel Neuer ;Sprache;4
David Alaba;Niklas Suele;Sprache;4
